Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,Custom Data 2,Custom Data 3,Topic,How confident are you in recalling facts about genetics?,How confident are you in understanding the core concepts in genetics?,How confident are you in understanding how genes relate to proteins?,How confident are you in understanding how genetic sequence errors relate to diseases?,How confident are you that you could understand genetics?,How important to you is it that you understand genetics?,How important do you think that an understanding of genetics will be for your career?,How much does genetics relate to other modules on your course?,"Do you prefer lectures that review the same material that is in the textbooks (A), or lectures that provide the ‘bigger picture’ and go beyond the set reading (B)?","How likely would you be to complete online multiple choice tests during the module to check your factual knowledge and understanding, even though it would not count towards your mark?","How much would you like to work in a group of three or four students to research and solve a practical problem during the module, even if it would not count towards your mark?","How much do you think the assessment should test your  factual knowledge, and how much should it test understanding and analysis?",How confident are you in reading material that contains novel technical terms or unfamiliar jargon?,How confident are you in understanding the recommended reading?,"How confident are you with everyday mental arithmetic, such as multiplication and division?",How confident are you with the sort of numerical calculations you need to do in your modules?,How confident are you in understanding the statistical tests reported in research papers?,How much of the recommended reading would you normally do each week?,How long would you expect to spend in reading a research paper for a discussion group or for the next lecture?,"How long would you expect to spend in reading a research paper to grasp the gist of its rationale, method, and discussion?","How long would you expect to spend in reading a research paper to fully understand its rationale, method, analysis and discussion?",COUNT
6487544125,162227883,31/10/2017 14:08,31/10/2017 14:12,4323,2,10547789,0,54,80,86,64,74,56,19,20,28,60,0,31,58,91,67,77,74,1,3,1,3,21
6437514932,162227883,05/10/2017 09:30,07/10/2017 16:38,3628,2,10522978,0,0,5,0,3,36,76,62,43,100,100,0,100,0,23,23,0,0,4,3,2,5,21
6432819049,162227883,05/10/2017 09:52,05/10/2017 09:56,1391,2,10542318,0,35,61,50,20,41,78,70,57,21,84,27,94,31,62,34,16,23,3,3,3,4,21
6431903792,162227883,04/10/2017 21:30,04/10/2017 21:31,4673,4,10590381,0,50,50,43,50,50,50,50,82,67,82,37,38,58,44,72,80,58,3,2,2,3,21
6431654847,162227883,04/10/2017 19:45,04/10/2017 19:47,3628,2,10567922,0,50,40,81,58,69,100,91,41,0,100,34,49,62,44,100,68,36,2,2,2,3,21
6431170785,162227883,04/10/2017 16:44,04/10/2017 16:47,4323,2,10567616,0,41,31,24,38,38,73,64,29,25,87,18,24,30,63,17,38,82,4,4,4,4,21
6431075113,162227883,04/10/2017 16:09,04/10/2017 16:14,3628,4,10540153,0,63,74,99,82,68,100,100,53,73,100,24,68,47,61,78,76,59,4,2,2,3,21
6430138110,162227883,04/10/2017 08:56,04/10/2017 09:01,1391,1,10572410,0,69,70,65,65,69,81,83,86,45,55,63,47,36,55,93,90,82,3,3,3,3,21
6428849423,162227883,03/10/2017 18:47,03/10/2017 18:52,3628,1,10567898,0,59,58,50,50,54,62,67,59,0,50,50,1,50,49,50,49,49,3,1,3,3,21
6427252939,162227883,03/10/2017 02:42,03/10/2017 02:48,3628,1,10578458,0,36,49,46,16,45,39,65,68,95,95,61,67,34,55,99,75,47,2,6,6,6,21
6426774677,162227883,02/10/2017 21:17,02/10/2017 21:21,1391,4,10490408,0,32,51,45,50,50,62,61,59,67,66,32,54,52,52,84,88,57,3,4,5,6,21
